"graph","text"
"graf_A5"," "
"graf_A6","<p>Výdaje na platy státních úředníků ve stálých cenách (po zohlednění inflace) byly v roce 2021 vyšší o 40–65 % než v roce 2003. Poté, během poměrně krátké doby výrazně poklesly na 113–128 % úrovně roku 2003. Za 2 dekády mezi lety 2003 až 2024 nejvíce narostly výdaje na platy v ‚Neústřední státní správě‘ a nejméně na ‚Ministerstvech‘.</p>"
"graf_A7","<p>Průměrné platy státních úředníků ve stálých cenách (po zohlednění inflace) byly v roce 2021 vyšší o více než 40 % než v roce 2003. Poté, během poměrně krátké doby výrazně poklesly na zhruba 20 % roku 2003. V trendech je vidět snahu o konsolidaci veřejných výdajů po světové finanční krizi 2010–2013 a v letech 2021–2024.</p>"
"graf_A8","<p>V období let 2004–2024 narostly nejvíce jak průměrné platy (+33 %), tak počty zaměstnanců (+14 %) v sektoru  ‚Příspěvkových organizací´. Naopak nejmenší nárůst průměrných platů i zaměstnanosti vidíme v sektoru ‚Ostatní vč. Armády´.</p>"
"graf_A9"," "
"graf_A10"," "
"graf_A11"," "
"graf_A12"," "
"graf_A13"," "
"graf_A14"," "
"graf_A16"," "
"graf_A15"," "
"graf_A17"," "
